PartialNodeId,SubIndex,NodeValueServerTime,NodeValueSourceTime,NodeValue,NodeValueQuality,NodeValueType
2,-1,131757413855879649,131757413857680966,808.5,1,11
2,-1,131757413886505311,131757413888678576,798.7,1,11
2,-1,131757413912755961,131757413915289666,812,1,11
2,-1,131757413944475539,131757413946324607,808.4,1,11
2,-1,131757413977288854,131757413977343521,805.6,1,11
2,-1,131757414006820847,131757414008365311,794.2,1,11
2,-1,131757414033071788,131757414034971569,806.2,1,11
2,-1,131757414063697176,131757414065989686,818.5,1,11
2,-1,131757414094323078,131757414097019234,803.9,1,11
2,-1,131757414127136201,131757414128055547,805.8,1,11
2,-1,131757414158855772,131757414159121390,890.1,1,11
2,-1,131757414185106419,131757414185737252,887.5,1,11
2,-1,131757414215732177,131757414216773211,853.1,1,11
2,-1,131757414246357928,131757414247808012,882,1,11
2,-1,131757414276983727,131757414278869389,868,1,11
2,-1,131757414303234295,131757414305463328,870.8,1,11
2,-1,131757414334953821,131757414336506018,869.1,1,11
2,-1,131757414365579924,131757414367536068,864.8,1,11
2,-1,131757414397299221,131757414398573941,881.8,1,11
2,-1,131757414423549906,131757414425175230,830.4,1,11
2,-1,131757414454175660,131757414456231926,804.8,1,11
2,-1,131757414485895156,131757414487262620,829.9,1,11
2,-1,131757414515427125,131757414518300267,880.8,1,11
2,-1,131757414548240556,131757414549349664,886,1,11
2,-1,131757414573397311,131757414575930554,890.5,1,11
2,-1,131757414605116899,131757414606983597,860.9,1,11
2,-1,131757414636836299,131757414638012965,863.4,1,11
2,-1,131757414667462009,131757414669008003,837.1,1,11
2,-1,131757414694806479,131757414695606039,856.9,1,11
2,-1,131757414724338632,131757414726637265,881.6,1,11
2,-1,131757414756058083,131757414757654760,875.9,1,11
2,-1,131757414786839991,131757414788685542,834.2,1,11
2,-1,131757414812934608,131757414815286869,817.3,1,11
2,-1,131757414844653994,131757414846308436,813.5,1,11
2,-1,131757414876373492,131757414877344970,812.9,1,11
2,-1,131757414905905451,131757414908367876,807.4,1,11
2,-1,131757414937624916,131757414939397643,803.7,1,11
2,-1,131757414964969447,131757414965997820,811.8,1,11
2,-1,131757414995595133,131757414997042115,806.5,1,11
2,-1,131757415026220994,131757415028069297,803.9,1,11
2,-1,131757415056846714,131757415059114464,773.1,1,11
2,-1,131757415083097371,131757415085696262,777.1,1,11
2,-1,131757415114816907,131757415116730753,803.8,1,11
2,-1,131757415147630253,131757415147763338,769.6,1,11
2,-1,131757415177162185,131757415178781412,778.5,1,11
2,-1,131757415208881639,131757415209812168,808.3,1,11
2,-1,131757415235132323,131757415236403967,813.3,1,11
2,-1,131757415265758092,131757415267434464,796.1,1,11
2,-1,131757415296383733,131757415298457298,810.8,1,11
2,-1,131757415327009549,131757415329481526,811.3,1,11
2,-1,131757415354354012,131757415356075058,809.7,1,11
2,-1,131757415384979763,131757415387087716,799.7,1,11
2,-1,131757415415605559,131757415418104256,790.2,1,11
2,-1,131757415447325013,131757415449151527,803.7,1,11
2,-1,131757415474669401,131757415475750665,787.3,1,11
2,-1,131757415535920995,131757415537876113,791.8,1,11
2,-1,131757415565453026,131757415568921984,813.5,1,11
2,-1,131757415597177558,131757415599991382,815.5,1,11
2,-1,131757415624516820,131757415626582934,823.9,1,11
2,-1,131757415656236617,131757415657616077,820.9,1,11
2,-1,131757415686862238,131757415688641099,821.8,1,11
2,-1,131757415718581774,131757415719683219,885.7,1,11
2,-1,131757415744832390,131757415746300498,884.9,1,11
2,-1,131757415775458107,131757415777352171,881.7,1,11
2,-1,131757415806083919,131757415808377413,885.7,1,11
2,-1,131757415836709660,131757415839403417,858.7,1,11
2,-1,131757415865147785,131757415866031507,804.1,1,11
2,-1,131757415894679833,131757415897072490,789,1,11
2,-1,131757415926399517,131757415928110905,877.1,1,11
2,-1,131757415957025172,131757415959137527,871.2,1,11
2,-1,131757415989838453,131757415990200878,861.2,1,11
2,-1,131757416014995311,131757416016780609,844.1,1,11
2,-1,131757416045621117,131757416047802467,807,1,11
2,-1,131757416076246878,131757416078859710,822,1,11
2,-1,131757416106872465,131757416109897030,778.2,1,11
2,-1,131757416134217143,131757416136523798,777.7,1,11
2,-1,131757416165936426,131757416167571473,799,1,11
2,-1,131757416197656045,131757416198600371,807.8,1,11
2,-1,131757416228281752,131757416229630213,799.4,1,11
2,-1,131757416254532539,131757416256215409,803.4,1,11
2,-1,131757416286251962,131757416287250915,805.2,1,11
2,-1,131757416315783907,131757416318267877,807.1,1,11
2,-1,131757416347503492,131757416349294413,787.1,1,11
2,-1,131757416378129236,131757416380321387,781.7,1,11
2,-1,131757416404379924,131757416406928181,805,1,11
2,-1,131757416436099371,131757416437958735,801.5,1,11
2,-1,131757416466725156,131757416468991126,809.1,1,11
2,-1,131757416497350911,131757416499995946,859.7,1,11
2,-1,131757416525789118,131757416526591976,857.7,1,11
2,-1,131757416556414835,131757416557618437,841.7,1,11
2,-1,131757416587040637,131757416588635472,828.3,1,11
2,-1,131757416617666467,131757416619675537,822.3,1,11
2,-1,131757416643917083,131757416646261413,815.9,1,11
2,-1,131757416675636534,131757416677277512,820.2,1,11
2,-1,131757416707356043,131757416708340793,841.7,1,11
2,-1,131757416737982068,131757416739366753,813.4,1,11
2,-1,131757416768607562,131757416770411363,812.4,1,11
2,-1,131757416795951984,131757416797032529,797.8,1,11
2,-1,131757416825484025,131757416829200123,790.3,1,11
2,-1,131757416858297327,131757416860233552,784,1,11
2,-1,131757416885641697,131757416886827244,776,1,11
2,-1,131757416916267558,131757416917878399,792.2,1,11
2,-1,131757416946893257,131757416948911635,808.7,1,11
2,-1,131757416978612736,131757416979940501,844.2,1,11
2,-1,131757417004863358,131757417006536167,808.5,1,11
2,-1,131757417035489335,131757417037561423,805.7,1,11
2,-1,131757417067208673,131757417068585012,793.6,1,11
2,-1,131757417096740892,131757417099628516,771.2,1,11
2,-1,131757417128460292,131757417130654518,775.6,1,11
2,-1,131757417154710873,131757417157232980,794.2,1,11
2,-1,131757417187524291,131757417188259295,769.3,1,11
2,-1,131757417218149885,131757417219321780,805.1,1,11
2,-1,131757417249869473,131757417250349140,895.1,1,11
2,-1,131757417275026416,131757417276930220,893.8,1,11
2,-1,131757417305652006,131757417307963167,890.9,1,11
2,-1,131757417336277822,131757417339008800,884.8,1,11
2,-1,131757417367997462,131757417370025110,884.2,1,11
2,-1,131757417394248112,131757417396619754,881.1,1,11
2,-1,131757417425967504,131757417427627847,887.4,1,11
2,-1,131757417457687226,131757417458664101,894.9,1,11
2,-1,131757417488312799,131757417489700542,807.3,1,11
2,-1,131757417520032448,131757417520794518,840.6,1,11
